x,y
115.133943,38.846688
108.948704,34.897204
121.436122,31.321224
126.633912,45.758999
103.462741,30.415084
112.202200,31.029354
108.954507,34.241613
125.307413,43.876882
119.868767,32.915562
119.828532,32.237393
120.017250,35.824865
114.023370,22.653207
113.356058,23.294351
120.159784,29.691662
113.376422,31.735803
121.377888,28.579184
113.328452,23.161202
114.093667,22.544724
119.312180,26.066105
116.681282,23.377932
118.949697,40.404324
126.651049,45.774104
105.877724,32.424496
121.545972,38.875173
111.249549,23.486663
115.678589,37.072566
116.339105,39.730455
104.286901,30.967715
118.345578,34.379139
117.025449,32.648450
120.912453,30.835442
111.315548,30.728952
111.653221,40.798975
114.116783,22.599814
112.473674,37.856449
116.428733,39.848001
121.484621,31.304484
121.699625,31.185741
112.846369,34.170995
119.320223,33.234884
119.975523,31.778163
116.990143,36.670099
120.450725,31.592625
113.261814,22.687204
113.697889,34.774563
117.189890,39.146202
114.239824,30.625812
120.092271,29.315890
126.632357,45.759172
113.855792,27.625733
120.264958,30.194287
111.190251,34.784331
121.054141,31.382930
118.873682,28.949115
112.378573,24.782986
119.798364,33.782462
113.802271,22.801201
113.970605,23.015717
120.327900,30.310208
109.443516,18.294042
112.260241,30.305522
114.309090,29.839414
117.962314,36.643812
120.151395,30.259786
119.637179,29.135395
106.224521,38.450220
113.436221,30.354402
120.260233,32.005365
120.953426,31.382968
118.732201,32.006483
121.464193,31.253752
119.188229,39.719265
114.254934,30.617972
106.245448,38.494399
120.553721,30.632799
116.364725,39.871781
121.405533,31.071364
115.864078,28.634921
122.241015,29.971393
118.599112,24.833894
114.149630,22.547702
116.108586,24.297033
94.360345,29.661444
120.373303,36.094374
118.821195,32.085048
118.280757,32.080204
110.294536,18.724999
112.433351,34.668424
113.680558,34.793511
102.710141,25.035884
117.660352,39.043632
117.252741,39.143095
118.765801,32.008861
106.577890,29.559173
121.378990,31.232194
114.313783,25.116345
103.799549,25.489469
119.165490,34.579461
113.266577,23.092910
111.642270,31.058475
116.357502,23.535092
114.059628,22.546501
117.204562,39.134442
117.373971,38.977249
120.550821,32.386482
120.257235,31.598702
118.384109,31.283064
119.298909,29.484113
115.322382,38.422193
104.076545,30.654292
102.741709,30.037373
113.407360,31.688850
113.065295,28.146841
112.595134,37.899535
117.985050,28.448381
120.642700,30.977339
109.473172,34.506343
118.853861,32.019818
120.225323,29.117707
122.120775,37.499148
121.473451,31.228720
104.091526,30.643065
114.716351,23.767649
120.239282,30.243008
120.690646,30.758123
119.840843,32.935100
115.077685,35.772692
114.246502,30.640572
121.319599,31.194071
108.380619,30.807455
121.430315,31.152611
113.320802,23.134189
118.763157,34.096210
113.262663,23.101613
113.044414,28.169101
112.519757,37.872930
124.813540,45.117214
112.974988,28.189476
113.353964,22.959396
116.404381,40.176708
116.369631,39.968220
113.302803,23.120134
114.141685,22.615863
130.980845,45.304121
113.437093,30.360290
125.317027,43.887084
115.842096,28.737585
117.708643,39.024241
120.321502,36.071991
122.989503,41.110273
119.730580,29.967141
113.553372,22.224153
104.270424,30.566145
